#
#Results from query to  NASA/IPAC Extragalactic Database (NED),
#which is operated by the Jet Propulsion Laboratory, California Institute of
#Technology, under contract with the National Aeronautics and Space Administration.
#This work was (partially) supported by the US National Virtual Observatory
#development project, which is funded by the National Science Foundation
#under cooperative agreement AST0122449 with The Johns Hopkins University.
#
#
#queryDateTime:2017-10-19T10:56:56PDT
#
#
#
#Main Information Table for NED objects within 20.000 arcmin of object NGC 4889
#
#
#
#Equinox:J2000.0
#
#
#
#CoordSystem:Equatorial
#
#No.	Object Name	RA(deg)	DEC(deg)	Type	Velocity	Redshift	Redshift Flag	Magnitude and Filter	Distance (arcmin)	References	Notes	Photometry Points	Positions	Redshift Points	Diameter Points	Associations
1	NGC 4889	195.03387 	  27.97700 	G	  6495	 0.021665 	    	12.9g	  0.000	479	12	176	26	31	10	3
2	MSPM 00013	195.02550 	  27.97830 	GClstr	  8139	 0.027150 	    	     	  0.451	1	0	0	1	1	0	0
3	SDSS J130006.10+275841.8	195.02546 	  27.97831 	G	  7816	 0.026071 	    	15.5g	  0.453	34	2	11	4	8	0	0
4	SDSS J130005.22+275835.9	195.02177 	  27.97666 	G	  7792	 0.025991 	    	18.5g	  0.642	11	0	34	2	1	4	0
5	RSCG 68	195.04451 	  27.97136 	GGroup	  6595	 0.022000 	    	     	  0.657	2	0	0	1	0	0	0
6	NGC 4886	195.01850 	  27.98758 	G	  6392	 0.021321 	    	14.9g	  1.033	151	3	47	13	18	5	0
7	SDSS J130007.47+275729.0	195.03113 	  27.95806 	G	  6267	 0.020904 	    	18.66	  1.146	23	0	11	4	2	0	0
8	2MASX J13001036+2757332	195.04312 	  27.95907 	G	  6336	 0.021134 	    	17.9g	  1.182	18	0	33	3	4	6	0
9	SDSS J130003.74+275752.9	195.01562 	  27.96471 	G	  5338	 0.017804 	    	18.2g	  1.216	29	0	24	5	5	4	0
10	SDSS J130008.39+275716.7	195.03497 	  27.95466 	G	  6206	 0.020700 	    	18.8g	  1.342	10	0	26	3	0	4	0
11	IC 4011	195.02662 	  28.00413 	G	  7268	 0.024243 	    	15.7g	  1.673	132	2	66	14	16	6	1
12	SDSS J130001.80+275941.2	195.00753 	  27.99479 	G	  9438	 0.031482 	    	22.8g	  1.757	5	0	16	2	1	4	1
13	SDSS J130000.97+275929.5	195.00406 	  27.99155 	G	  7465	 0.024900 	    	19.2g	  1.805	21	0	28	6	3	4	2
14	COMAi J130016.555+275826.59	195.06900 	  27.97404 	G	  6873	 0.022926 	    	22.9R	  1.870	4	0	3	1	1	0	0
15	SDSS J125959.96+275917.8	194.99983 	  27.98828 	G	  9031	 0.030124 	    	20.1r	  1.926	5	0	1	0	1	0	2
16	NGC 4894	195.06882 	  27.96752 	G	  4634	 0.015457 	    	15.7g	  1.937	88	1	50	13	14	7	1
17	SDSS J125959.90+275921.8	194.99958 	  27.98940 	G	  6535	 0.021800 	    	21.0g	  1.963	2	0	27	2	0	4	3
18	COMAi J130005.370+275644.28	195.02240 	  27.94569 	G	  5777	 0.019270 	    	23.1R	  1.975	4	0	3	0	1	0	2
19	COMAi J130004.034+280030.79	195.01691 	  28.00861 	G	  6360	 0.021215 	    	20.00	  2.099	11	0	9	3	2	0	4
20	SDSS J130017.64+275915.1	195.07350 	  27.98753 	G	  6136	 0.020467 	    	18.70	  2.193	21	0	16	5	2	0	2
21	SDSS J125958.51+275755.5	194.99381 	  27.96544 	G	  6821	 0.022752 	    	20.5g	  2.233	3	0	18	1	1	3	2
22	COMAi J130014.209+280026.46	195.05922 	  28.00735 	G	  8149	 0.027182 	    	21.5R	  2.262	5	0	1	1	1	0	0
23	SDSS J130018.27+275817.6	195.07613 	  27.97158 	G	  4950	 0.016511 	    	22.5g	  2.263	7	0	16	2	1	4	0
24	COMAi J130018.525+275829.94	195.07726 	  27.97502 	G	  7014	 0.023396 	    	22.8R	  2.302	3	0	3	0	1	0	1
25	SDSS J130010.38+275617.0	195.04327 	  27.93806 	G	  7485	 0.024967 	    	20.3r	  2.389	6	0	16	1	1	4	1
26	LDCE 0931	195.07875 	  27.98528 	GTrpl	  8556	 0.028540 	    	     	  2.429	1	0	0	0	1	0	10
27	2MASS J13000095+2756433	195.00405 	  27.94544 	G	  6839	 0.022812 	    	17.8g	  2.467	42	0	26	8	6	4	0
28	NGC 4898 NED01	195.07362 	  27.95539 	G	  6903	 0.023026 	    	14.7g	  2.474	97	1	43	10	9	6	0
29	NGC 4898	195.07500 	  27.95722 	GPair	  6661	 0.022219 	    	14.48	  2.481	38	2	19	3	10	1	2
